A 313 200 000 UI POUR CENT, POMMADE
GLUCOPHAGE 1000 MG, COMPRIMÉ PELLICULÉ SÉCABLE
GLUCOPHAGE 1000 MG, COMPRIMÉ PELLICULÉ SÉCABLE
GLUCOPHAGE 500 MG, COMPRIMÉ PELLICULÉ
GLUCOPHAGE 850 MG, COMPRIMÉ PELLICULÉ
GLUCOR 100 MG, COMPRIMÉ SÉCABLE
GLUCOR 50 MG, COMPRIMÉ
GLUCOSE 10 % AGUETTANT, SOLUTION POUR PERFUSION
GLUCOSE 10 % B.BRAUN, SOLUTION POUR PERFUSION
GLUCOSE 10 % BAXTER, SOLUTION POUR PERFUSION
GLUCOSE 10 % BIOLUZ, SOLUTION POUR PERFUSION
GLUCOSE 10 % FRESENIUS KABI FRANCE, SOLUTION POUR PERFUSION
GLUCOSE 10 % LAVOISIER, SOLUTION POUR PERFUSION
GLUCOSE 10 % PROAMP, SOLUTION INJECTABLE
GLUCOSE 15 % AGUETTANT, SOLUTION POUR PERFUSION
GLUCOSE 15 % B.BRAUN, SOLUTION POUR PERFUSION
GLUCOSE 2,5 % AGUETTANT, SOLUTION POUR PERFUSION
GLUCOSE 2,5 % B. BRAUN, SOLUTION POUR PERFUSION
GLUCOSE 2,5 % ET CHLORURE DE SODIUM 0,45 % B.BRAUN, SOLUTION POUR PERFUSION
GLUCOSE 2,5 % VIAFLO, SOLUTION POUR PERFUSION
GLUCOSE 20 % AGUETTANT, SOLUTION POUR PERFUSION
GLUCOSE 20 % B.BRAUN, SOLUTION POUR PERFUSION
GLUCOSE 30 % AGUETTANT, SOLUTION POUR PERFUSION
GLUCOSE 30 % B.BRAUN, SOLUTION POUR PERFUSION
GLUCOSE 30 % LAVOISIER, SOLUTION INJECTABLE EN AMPOULE
GLUCOSE 30 % LAVOISIER, SOLUTION POUR PERFUSION EN FLACON
GLUCOSE 30 % PROAMP, SOLUTION INJECTABLE
GLUCOSE 30 % RENAUDIN, SOLUTION INJECTABLE
GLUCOSE 5 % AGUETTANT, SOLUTION POUR PERFUSION
GLUCOSE 5 % B.BRAUN, SOLUTION POUR PERFUSION
GLUCOSE 5 % BAXTER, SOLUTION POUR PERFUSION
GLUCOSE 5 % BIOLUZ, SOLUTION POUR PERFUSION
GLUCOSE 5 % COOPER, SOLUTION POUR PERFUSION
GLUCOSE 5 % FRESENIUS KABI FRANCE, SOLUTION POUR PERFUSION
GLUCOSE 5 % LAVOISIER, SOLUTION POUR PERFUSION
GLUCOSE 5 % PROAMP, SOLUTION INJECTABLE
GLUCOSE 5 % VIAFLO, SOLUTION POUR PERFUSION
GLUCOSE 50 % AGUETTANT, SOLUTION POUR PERFUSION
GLUCOSE 50 % B.BRAUN, SOLUTION POUR PERFUSION
GLUCOSE 50 % RENAUDIN, SOLUTION INJECTABLE
GLUCOSE BIOSEDRA 15 POUR CENT, SOLUTION POUR PERFUSION
GLUCOSE BIOSEDRA 30 POUR CENT, SOLUTION POUR PERFUSION
GLUCOSE FRESENIUS 10 %, SOLUTION POUR PERFUSION
GLUCOSE FRESENIUS 5 %, SOLUTION POUR PERFUSION
GLUCOTEP 150 MBQ/ML, SOLUTION INJECTABLE
GLUCOTRACE 185 MBQ/ML, SOLUTION INJECTABLE
GLUCOVANCE 1000 MG/5 MG, COMPRIMÉ PELLICULÉ
GLUCOVANCE 500 MG/2,5 MG, COMPRIMÉ PELLICULÉ
GLUCOVANCE 500 MG/5 MG, COMPRIMÉ PELLICULÉ
GLUSCAN 600 MBQ/ML, SOLUTION INJECTABLE
GLYCERINUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GLYCEROL/VASELINE/PARAFFINE ARROW 15 %/8 %/2 %, CRÈME
GLYCEROL/VASELINE/PARAFFINE BIOGARAN 15 %/8 %/2 %, CRÈME
GLYCEROL/VASELINE/PARAFFINE CRISTERS 15 %/8 %/2 %, CRÈME
GLYCEROL/VASELINE/PARAFFINE EG 15 %/8 %/2 %, CRÈME
GLYCEROL/VASELINE/PARAFFINE PIERRE FABRE SANTE 15 %/8 %/2 %, CRÈME
GLYCEROL/VASELINE/PARAFFINE SANDOZ 15 %/8 %/2 %, CRÈME
GLYCEROL/VASELINE/PARAFFINE TEVA 15 %/8 %/2 %, CRÈME
GLYCEROL/VASELINE/PARAFFINE VIATRIS 15 %/8 %/2 %, CRÈME
GLYCEROL/VASELINE/PARAFFINE ZENTIVA 15 %/8 %/2 %, CRÈME
GLYCEROL/VASELINE/PARAFFINE ZYDUS 15 %/8 %/2 %, CRÈME
GLYCO-THYMOLINE 55, SOLUTION BUCCALE
GLYCYRRHIZA GLABRA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GLYDO 20 MG/ML, GEL EN SERINGUE PRÉREMPLIE
GLYPRESSINE 1 MG/5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (I.V.)
GLYPRESSINE 1 MG/8,5 ML, SOLUTION INJECTABLE
GNAPHALIUM DIOICUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GNAPHALIUM POLYCEPHALUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 7DH ET 60DH
GNAPHALIUM POLYCEPHALUM LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GOMENOL SOLUBLE 82,5 MG/5 ML, SOLUTION POUR INHALATION PAR NÉBULISEUR EN AMPOULE
GONADOTROPHINE CHORIONIQUE IBSA 5000 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
GONAL-F 1050 UI/1,75 ML (77 MICROGRAMMES/1,75 ML), POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
GONAL-F 150 UI/0,25 ML, SOLUTION INJECTABLE EN STYLO PRÉREMPLI
GONAL-F 300 UI/0,5 ML (22 MICROGRAMMES/0,5 ML), SOLUTION INJECTABLE EN STYLO PRÉREMPLI
GONAL-F 450 UI/0,75 ML (33 MICROGRAMMES/0,75 ML), SOLUTION INJECTABLE EN STYLO PRÉREMPLI
GONAL-F 75 UI (5,5 MICROGRAMMES), POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
GONAL-F 900 UI/1,5 ML (66 MICROGRAMMES/1,5 ML), SOLUTION INJECTABLE EN STYLO PRÉREMPLI
GONAPEPTYL 3,75 MG, POUDRE ET SOLVANT POUR SUSPENSION INJECTABLE À LIBÉRATION PROLONGÉE EN SERINGUES PRÉ-REMPLIES
GONOTOXINUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
GOSSYPIUM HERBACEUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GOUTTES AUX ESSENCES, SOLUTION BUVABLE
GRAFALON 20 MG/ML, SOLUTION À DILUER POUR PERFUSION
GRAINS DE VALS 12,5 MG, COMPRIMÉ ENROBÉ
GRANIONS D'ARGENT 0,64 MG/2 ML, SOLUTION BUVABLE
GRANIONS D'OR 0,2 MG/2 ML, SOLUTION BUVABLE
GRANIONS DE BISMUTH 2 MG/2 ML, SOLUTION BUVABLE
GRANIONS DE CUIVRE 0,3 MG/2 ML, SUSPENSION BUVABLE
GRANIONS DE LITHIUM 1 MG/ 2 ML, SOLUTION BUVABLE EN AMPOULE
GRANIONS DE MAGNESIUM 3,82 MG/2 ML, SOLUTION BUVABLE
GRANIONS DE MANGANESE 0,1 MG/2 ML, SOLUTION BUVABLE EN AMPOULE
GRANIONS DE SELENIUM 0,96 MG/2 ML, SUSPENSION BUVABLE
GRANIONS DE SOUFRE 19,5 MG/2 ML, SOLUTION BUVABLE
GRANIONS DE ZINC 15 MG/2 ML, SOLUTION BUVABLE EN AMPOULE
GRANISETRON B BRAUN 3 MG/3 ML, SOLUTION À DILUER INJECTABLE OU POUR PERFUSION
GRANOCYTE 13 MILLIONS UI/ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE/PERFUSION EN SERINGUE PRÉREMPLIE
GRANOCYTE 34 MILLIONS UI/ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE/PERFUSION EN SERINGUE PRÉREMPLIE
GRANOCYTE 34 MILLIONS UI/ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE/PERFUSION EN SERINGUE PRÉREMPLIE
GRANOCYTE 34 MILLIONS UI/ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE/PERFUSION EN SERINGUE PRÉREMPLIE
GRANOCYTE 34 MILLIONS UI/ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE/PERFUSION EN SERINGUE PRÉREMPLIE
GRANOCYTE 34 MILLIONS UI/ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE/PERFUSION EN SERINGUE PRÉREMPLIE
GRANPIDAM 20 MG, COMPRIMÉ PELLICULÉ
GRANUDOXY 100 MG, COMPRIMÉ PELLICULÉ SÉCABLE
GRANUPAS 4 G, GRANULÉS GASTRO-RÉSISTANTS
GRAPHITES BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GRAPHITES LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GRAPHITES WELEDA, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GRASUSTEK 6 MG, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
GRATIOLA OFFICINALIS BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 3CH ET 30CH OU ENTRE 5DH ET 60DH
GRAZAX 75 000 SQ-T, LYOPHILISAT SUBLINGUAL
GRES ROSE BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GRINAZOLE 100 MG/G, PÂTE POUR USAGE DENTAIRE
GRINDELIA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GRINDELIA LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
GRISEFULINE 250 MG, COMPRIMÉ SÉCABLE
GRISEFULINE 500 MG, COMPRIMÉ SÉCABLE
GUAIACUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH À 30CH ET 4DH À 60DH
GUAIACUM LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH À 30CH ET 4DH À 60DH
GUARANA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH À 30CH ET 4DH À 60DH
GURONSAN, COMPRIMÉ EFFERVESCENT
GUTRON 2,5 MG, COMPRIMÉ
GUTRON 2,5 MG, COMPRIMÉ
GUTRON 2,5 MG, COMPRIMÉ
GUTRON 2,5 MG, COMPRIMÉ
GUTRON 2,5 MG, COMPRIMÉ
GYDRELLE 0,1 POUR CENT, CRÈME VAGINALE
GYMISO 200 MICROGRAMMES, COMPRIMÉ
GYNERGENE CAFEINE, COMPRIMÉ
GYNO DAKTARIN 400 MG, CAPSULE MOLLE VAGINALE
GYNO TROSYD 300 MG, OVULE
GYNO-PEVARYL 150 MG, OVULE
GYNO-PEVARYL LP 150 MG, OVULE À LIBÉRATION PROLONGÉE
GYNOPURA 1 %, CRÈME POUR APPLICATION LOCALE
GYNOPURA L.P. 150 MG, OVULE À LIBÉRATION PROLONGÉE
HAEMOPRESSIN 1 MG, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
HALAVEN 0,44 MG/ML, SOLUTION INJECTABLE
HALDOL 1 MG, COMPRIMÉ
HALDOL 2 MG/ML, SOLUTION BUVABLE
HALDOL 5 MG, COMPRIMÉ
HALDOL 5 MG/ML, SOLUTION INJECTABLE EN AMPOULE
HALDOL DECANOAS 50 MG/ML, SOLUTION INJECTABLE
HAMAMELIS BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HAMAMELIS COMPOSE BOIRON
HAMAMELIS LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HARMONET, COMPRIMÉ ENROBÉ
HARPAGOPHYTUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HARPAGOPHYTUM LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HARVONI 90 MG/400 MG, COMPRIMÉ PELLICULÉ
HAVLANE, COMPRIMÉ SÉCABLE
HAVRIX 1440 U/1 ML ADULTES, SUSPENSION INJECTABLE EN SERINGUE PRÉREMPLIE. VACCIN DE L'HÉPATITE A (INACTIVÉ, ADSORBÉ)
HAVRIX NOURRISSONS ET ENFANTS 720 U/0,5 ML, SUSPENSION INJECTABLE EN SERINGUE PRÉREMPLIE. VACCIN DE L'HÉPATITE A (INACTIVÉ, ADSORBÉ)
HBVAXPRO 10 MICROGRAMMES, SUSPENSION INJECTABLE EN SERINGUE PRÉREMPLIE. VACCIN DE L'HÉPATITE B (ADNR)
HBVAXPRO 40 MICROGRAMMES, SUSPENSION INJECTABLE. VACCIN DE L'HÉPATITE B (ADNR)
HBVAXPRO 5 MICROGRAMMES, SUSPENSION INJECTABLE EN SERINGUE PRÉREMPLIE. VACCIN DE L'HÉPATITE B (ADNR)
HEC, POMMADE POUR APPLICATION CUTANÉE ET NASALE
HEDERA HELIX BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HEDERA HELIX LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HEDETUS, SIROP
HEKLA LAVA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 3CH ET 30CH OU ENTRE 6DH ET 60DH
HELIANTHUS ANNUUS BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HELICIDINE 10 POUR CENT SANS SUCRE, SIROP ÉDULCORÉ À LA SACCHARINE SODIQUE ET AU MALTITOL LIQUIDE
HELICOBACTER TEST INFAI POUR LES ENFANTS AGÉS DE 3 À 11 ANS, 45 MG, POUDRE POUR SOLUTION BUVABLE
HELICOBACTER TEST INFAI, 75 MG POUDRE POUR SOLUTION BUVABLE
HELIKIT 75 MG, POUDRE POUR SOLUTION BUVABLE
HELIXATE NEXGEN 1000 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
HELIXATE NEXGEN 2000 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
HELIXATE NEXGEN 250 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
HELIXATE NEXGEN 3000 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
HELIXATE NEXGEN 500 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
HELLEBORUS NIGER BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 3CH ET 30CH OU ENTRE 6DH ET 60DH
HELLEBORUS NIGER LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 3CH ET 30CH OU ENTRE 6DH ET 60DH
HELLEBORUS NIGER PLANTA TOTA WELEDA, DEGRÉ DE DILUTION COMPRIS ENTRE 3CH ET 30CH OU ENTRE 6DH ET 60DH
HELMINTOX 125 MG/2,5 ML, SUSPENSION BUVABLE
HELMINTOX 250 MG, COMPRIMÉ PELLICULÉ
HELONIAS COMPOSE BOIRON
HELONIAS DIOICA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 3CH ET 30CH OU ENTRE 6DH ET 60DH
HELONIAS DIOICA LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
HEMAGENE TAILLEUR 200 MG, COMPRIMÉ PELLICULÉ
HEMANGIOL 3,75 MG/ML, SOLUTION BUVABLE
HEMATITE BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HEMI-DAONIL 2,5 MG, COMPRIMÉ SÉCABLE
HEMIGOXINE NATIVELLE 0,125 MG, COMPRIMÉ
HEMLIBRA 150 MG/1 ML, SOLUTION INJECTABLE
HEMLIBRA 30 MG/ML, SOLUTION INJECTABLE
HEMOCLAR 0,5 POUR CENT, CRÈME
HEMOLEVEN 1000 UI/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
HEMOSOL B0, SOLUTION POUR HÉMODIALYSE/HÉMOFILTRATION
HEPANEPHROL, SOLUTION BUVABLE EN AMPOULE
HEPANEPHROL, SOLUTION BUVABLE EN FLACON
HEPAR SULFUR (HEPAR SULFURIS CALCAREUM) BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
HEPAR SULFUR LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
HEPAR SULFUR WELEDA, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HEPARGITOL, POUDRE ORALE EN SACHET BIPOCHE
HEPARINE CALCIQUE PANPHARMA 25 000 UI/ML, SOLUTION INJECTABLE (S.C.)
HEPARINE CALCIQUE PANPHARMA 25 000 UI/ML, SOLUTION INJECTABLE EN SERINGUE PRÉ-REMPLIE (S.C.)
HEPARINE CHOAY 25 000 UI/5 ML, SOLUTION INJECTABLE
HEPARINE CHOAY 5000 UI/1 ML, SOLUTION INJECTABLE
HEPARINE SODIQUE PANPHARMA 5 000 UI/ML, SOLUTION INJECTABLE (I.V.)
HEPATATE, POUDRE POUR SOLUTION INJECTABLE. TROUSSE POUR LA PRÉPARATION RADIOPHARMACEUTIQUE
HEPATINE BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
HEPATINE WELEDA, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
HEPATOUM, SOLUTION BUVABLE
HEPCLUDEX 2 MG, POUDRE POUR SOLUTION INJECTABLE
HEPSERA 10 MG, COMPRIMÉ
HEPTAMINOL H2 PHARMA 30,5 POUR CENT, SOLUTION BUVABLE EN GOUTTES
HERACLEUM SPHONDYLIUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HERBION EXPECTORANT LIERRE, SIROP
HERCEPTIN 150 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
HERCEPTIN 600 MG, SOLUTION INJECTABLE EN FLACON
HERPESEDERMYL 5 %, CRÈME
HERZUMA 150 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
HERZUMA 420 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
HEXALYSE, COMPRIMÉ À SUCER
HEXAMIDINE MYLAN À 1 POUR MILLE, SOLUTION POUR APPLICATION LOCALE
HEXAPNEUMINE ADULTES, SIROP
HEXAPNEUMINE ENFANTS, SIROP
HEXAQUINE, COMPRIMÉ ENROBÉ
HEXASPRAY FRUITS EXOTIQUES, COLLUTOIRE EN FLACON PRESSURISÉ
HEXASPRAY, COLLUTOIRE EN FLACON PRESSURISÉ
HEXASTAT, GÉLULE
HEXATRIONE 2 POUR CENT, SUSPENSION INJECTABLE (INTRA-ARTICULAIRE)
HEXETIDINE BIOGARAN CONSEIL 0,1 %, SOLUTION POUR BAIN DE BOUCHE
HEXETIDINE EG LABO CONSEIL 0,1 %, SOLUTION POUR BAIN DE BOUCHE
HEXETIDINE SANDOZ CONSEIL 0,1 %, SOLUTION POUR BAIN DE BOUCHE
HEXETIDINE TEVA CONSEIL 0,1 %, SOLUTION POUR BAIN DE BOUCHE
HEXETIDINE VIATRIS CONSEIL 0,1 %, SOLUTION POUR BAIN DE BOUCHE
HEXICID, SOLUTION POUR APPLICATION LOCALE
HEXOMEDINE 0,1 POUR CENT, GEL POUR APPLICATION CUTANÉE
HEXOMEDINE 1 POUR MILLE, SOLUTION POUR APPLICATION CUTANÉE
HEXOMEDINE 1 POUR MILLE, SOLUTION POUR PULVÉRISATION CUTANÉE EN FLACON PRESSURISÉ
HEXOMEDINE TRANSCUTANEE 1,5 POUR MILLE, SOLUTION POUR APPLICATION LOCALE
HEXTRIL 0,1 POUR CENT, BAIN DE BOUCHE, FLACON
HEXTRIL 0,1 POUR CENT, PÂTE DENTIFRICE
HEXTRIL MENTHE 0,1 POUR CENT, SOLUTION POUR BAIN DE BOUCHE
HEXVIX 85 MG, POUDRE ET SOLVANT POUR SOLUTION INTRAVÉSICALE
HEXYON, SUSPENSION INJECTABLE EN SERINGUE PRÉREMPLIE
HIBIDIL, SOLUTION POUR APPLICATION LOCALE, STÉRILE
HIBISCRUB 4%, SOLUTION MOUSSANTE
HIDONAC 5 G/25 ML, SOLUTION INJECTABLE POUR PERFUSION
HINARTUM, COMPRIMÉ
HIPPOVENO, COMPRIMÉ ENROBÉ
HISTAMINUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
HISTAMINUM LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
HISTOFLUINE P, SOLUTION BUVABLE EN GOUTTES
HIZENTRA 200 MG/ML, SOLUTION INJECTABLE SOUS-CUTANÉE
HOANG NAN BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
HOLOCLAR, 79 000 À 316 000 CELLULES/CM², SUBSTITUT DE TISSU VIVANT
HOLOXAN 1000 MG, POUDRE POUR SOLUTION INJECTABLE
HOLOXAN 2000 MG, POUDRE POUR USAGE PARENTÉRAL
HOMEOAFTYL, COMPRIMÉ À SUCER
HOMEOCYST, GRANULES
HOMEODRAIN, GRANULES
HOMEOGENE 46, COMPRIMÉ ORODISPERSIBLE
HOMEOGENE 9, COMPRIMÉ
HOMEOMUNYL, GRANULES EN RÉCIPIENT UNIDOSE
HOMEOPLASMINE, POMMADE
HOMEOPTIC, COLLYRE EN RÉCIPIENT UNIDOSE
HOMEOQUINTYL, GRANULES
HOMEOREGUL, GRANULES
HOMEORUB, GRANULES
HOMEORYL, GRANULES
HOMEOVOX, COMPRIMÉ ENROBÉ
HOSPASOL167 MMOL/L, SOLUTION POUR PERFUSION
HUILE DE PARAFFINE COOPER, SOLUTION BUVABLE EN FLACON
HUILE DE PARAFFINE GIFRER, SOLUTION BUVABLE
HUILE DE PARAFFINE GILBERT, SOLUTION BUVABLE EN FLACON
HUILE ESSENTIELLE DE LAVANDE SCHWABE, CAPSULE MOLLE
HUILE GOMENOLEE 2 POUR CENT, SOLUTION POUR INSTILLATION NASALE
HUILE GOMENOLEE 5 POUR CENT, SOLUTION POUR INSTILLATION NASALE
HUKYNDRA 40 MG, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
HUKYNDRA 40 MG, SOLUTION INJECTABLE EN STYLO PRÉREMPLI
HUKYNDRA 80 MG, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
HULIO 20 MG, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
HULIO 40 MG, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
HULIO 40 MG, SOLUTION INJECTABLE EN STYLO PRÉREMPLI
HULIO 40 MG/0,8 ML, SOLUTION INJECTABLE
HUMALOG 100 UI/ML KWIKPEN, SOLUTION INJECTABLE
HUMALOG 100 UI/ML, SOLUTION INJECTABLE EN CARTOUCHE
HUMALOG 100 UI/ML, SOLUTION INJECTABLE EN FLACON
HUMALOG 100 UNITÉS/ML JUNIOR KWIKPEN SOLUTION INJECTABLE EN STYLO PRÉ-REMPLI
HUMALOG 200 UI/ML KWIKPEN, SOLUTION INJECTABLE EN STYLO PRÉREMPLI
HUMALOG MIX25 100 UI/ML KWIKPEN, SUSPENSION INJECTABLE
HUMALOG MIX25 100 UI/ML, SUSPENSION INJECTABLE EN CARTOUCHE
HUMALOG MIX50 100 UI/ML KWIKPEN, SUSPENSION INJECTABLE
HUMALOG MIX50 100 UI/ML, SUSPENSION INJECTABLE EN CARTOUCHE
HUMEX 5 % ADULTES EXPECTORANT SANS SUCRE, SOLUTION BUVABLE ÉDULCORÉE À LA SACCHARINE SODIQUE
HUMEX ALLERGIE CETIRIZINE 10 MG, COMPRIMÉ PELLICULÉ SÉCABLE
HUMEX ALLERGIE LORATADINE 10 MG, COMPRIMÉ
HUMEX CONJONCTIVITE ALLERGIQUE 2 %, COLLYRE EN SOLUTION EN RÉCIPIENT UNIDOSE
HUMEX EXPECTORANT CARBOCISTEINE 750 MG/10 ML ADULTES SANS SUCRE, SOLUTION BUVABLE EN SACHET ÉDULCORÉE À LA SACCHARINE SODIQUE, AU SORBITOL ET AU MALTITOL LIQUIDE
HUMEX FOURNIER 0,04 POUR CENT, SOLUTION POUR PULVÉRISATION NASALE
HUMEX GORGE IRRITEE LIDOCAINE, GOMME ORALE
HUMEX MAL DE GORGE BICLOTYMOL 20 MG FRUITS ROUGES SANS SUCRE, PASTILLE ÉDULCORÉE À L'ISOMALT ET À L'ACÉSULFAME POTASSIQUE
HUMEX MAL DE GORGE BICLOTYMOL 20 MG MENTHE SANS SUCRE, PASTILLE ÉDULCORÉE À L'ISOMALT
HUMEX MAL DE GORGE BICLOTYMOL 20 MG MIEL CITRON, PASTILLE
HUMEX MAL DE GORGE BICLOTYMOL 20 MG ORANGE, PASTILLE
HUMEX MAL DE GORGE LIDOCAINE/ALCOOL DICHLOROBENZYLIQUE/AMYLMETACRESOL 2 MG/1,2 MG/0,6 MG MENTHE GLACIALE SANS SUCRE, PASTILLE ÉDULCORÉE À LA SACCHARINE SODIQUE, AU MALTITOL ET À L'ISOMALT
HUMEX MAL DE GORGE LIDOCAINE/ALCOOL DICHLOROBENZYLIQUE/AMYLMETACRESOL 2 MG/1,2 MG/0,6 MG MENTHE, PASTILLE
HUMEX MAL DE GORGE LIDOCAINE/ALCOOL DICHLOROBENZYLIQUE/AMYLMETACRESOL 2 MG/1,2 MG/0,6 MG MIEL CITRON SANS SUCRE, PASTILLE ÉDULCORÉE À LA SACCHARINE SODIQUE, AU MALTITOL ET À L'ISOMALT
HUMEX MAL DE GORGE LIDOCAINE/ALCOOL DICHLOROBENZYLIQUE/AMYLMETACRESOL 2 MG/1,2 MG/0,6 MG MIEL CITRON, PASTILLE
HUMEX MAL DE GORGE LIDOCAINE/BENZALKONIUM 0,30 G/0,03 G POUR 100 ML, COLLUTOIRE, FLACON PRESSURISÉ
HUMEX RHUME DES FOINS A LA BECLOMETASONE 50 MICROGRAMMES/DOSE, SUSPENSION POUR PULVÉRISATION NASALE EN FLACON
HUMEX RHUME, COMPRIMÉ ET GÉLULE
HUMEX TOUX SECHE OXOMEMAZINE 0,33 MG/ML SANS SUCRE, SOLUTION BUVABLE ÉDULCORÉE À L'ACÉSULFAME POTASSIQUE
HUMEX TOUX SECHE OXOMEMAZINE 0,33 MG/ML, SIROP
HUMEXLIB ETAT GRIPPAL PARACETAMOL/VITAMINE C/PHENIRAMINE 500 MG/200 MG/25 MG SANS SUCRE, POUDRE POUR SOLUTION BUVABLE EN SACHET ÉDULCORÉE À L'ASPARTAM
